run_name,git_hash,date,n_topics,patience,dev_metric,train_prefix,dev_prefix,labels,topic_covars,classifier_loss_weight,r,l1_topics,l1_topic_covars,l1_interactions,output_dir,restart,dev_folds,n_train,n_labels,saved_at_epoch,accuracy_train,accuracy_dev,accuracy_dev_from_chkpt,accuracy_test,perplexity_dev,perplexity_test,maw
output-epoch50-y10-k20-majority_cosponsor_covar-NO_topics_for_pred,f8e2e7d87c4476f9b39938a18233c81b768166a3,2019-11-07 22:13,20.0,10.0,+accuracy,train,,vote,"party,leg_id,chamber,bill_type,pip,majority_cosponsor",,0.0,0.0,0.0,0.0,output-epoch50-y10-k20-majority_cosponsor_covar-NO_topics_for_pred/,0.0,10.0,685091.0,2.0,49.0,0.904835042216607,0.8922769271190647,0.9018377147528062,,658.09064,,5.9058
output-epoch50-y10-k20-without_any_covars-label_majority_cosponsor,f8e2e7d87c4476f9b39938a18233c81b768166a3,2019-11-08 04:22,20.0,10.0,+accuracy,train,,majority_cosponsor,,,0.0,0.0,0.0,0.0,output-epoch50-y10-k20-without_any_covars-label_majority_cosponsor/,0.0,10.0,685091.0,2.0,28.0,0.9368956602690315,0.9374534732662861,0.97521493526398,,3360.498,,1.9005
output-epoch50-y10-k2-majority_cosponsor_covar-NO_topic,f8e2e7d87c4476f9b39938a18233c81b768166a3,2019-11-08 05:19,2.0,10.0,+accuracy,train,,vote,"party,leg_id,chamber,bill_type,pip,majority_cosponsor",,0.0,0.0,0.0,0.0,output-epoch50-y10-k2-majority_cosponsor_covar-NO_topic/,0.0,10.0,685091.0,2.0,49.0,0.8591412010081384,0.8513625946955874,0.8534353150680932,,1081.1733,,2.0609
output-epoch50-y10-k20-majority_cosponsor_covar-without_party-NO_topic,f8e2e7d87c4476f9b39938a18233c81b768166a3,2019-11-08 21:34,20.0,50.0,+accuracy,train,,vote,"leg_id,chamber,bill_type,pip,majority_cosponsor",,0.0,0.0,0.0,0.0,output-epoch50-y10-k20-majority_cosponsor_covar-without_party-NO_topic/,0.0,10.0,685091.0,2.0,12.0,0.8450052061201916,0.8431009064502474,0.8431009064502474,,6009.7734,,1.1288
output-epoch50-y10-k20-majority_cosponsor_covar-out_of_session_testing_20052010_20112012,f8e2e7d87c4476f9b39938a18233c81b768166a3,2019-11-08 23:32,20.0,10.0,+accuracy,train,,vote,"party,leg_id,chamber,bill_type,pip,majority_cosponsor",,0.0,0.0,0.0,0.0,output-epoch50-y10-k20-majority_cosponsor_covar-out_of_session_testing_20052010_20112012/,0.0,10.0,542395.0,2.0,49.0,0.9067859454764461,0.896716384889102,0.9054739209793691,0.730181644895442,617.03033,3258.4734,5.5683
output-epoch50-y10-k20-majority_cosponsor_covar-NO_topic,f8e2e7d87c4476f9b39938a18233c81b768166a3,2019-11-08 23:39,20.0,50.0,+accuracy,train,,vote,"party,leg_id,chamber,bill_type,pip,majority_cosponsor",,0.0,0.0,0.0,0.0,output-epoch50-y10-k20-majority_cosponsor_covar-NO_topic/,0.0,10.0,685091.0,2.0,16.0,0.8463756645507005,0.8430425199608811,0.8430425199608811,,6618.9014,,1.3482
output-epoch50-y10-k20-NO_covars,f8e2e7d87c4476f9b39938a18233c81b768166a3,2019-11-09 04:58,20.0,50.0,+accuracy,train,,vote,,,0.0,0.0,0.0,0.0,output-epoch50-y10-k20-NO_covars/,0.0,10.0,685091.0,2.0,48.0,0.681635208293463,0.6834576479002759,0.684698360799311,,1067.9921,,6.0221
output-epoch50-y10-k20-ONLY_leg_id-NO_topic,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-09 20:24,20.0,50.0,+accuracy,train,,vote,leg_id,,0.0,0.0,0.0,0.0,output-epoch50-y10-k20-ONLY_leg_id-NO_topic/,0.0,10.0,685091.0,2.0,49.0,0.6936709148174939,0.6958939701353107,0.6958939701353107,,1053.6713,,6.0269
output-epoch50-y10-k20-all_covars-default_reg-out_of_session_test,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-09 20:53,20.0,6.0,+accuracy,train,test,vote,"party,chamber,bill_type,pip,majority_cosponsor,leg_id",1.0,1.0,1.0,1.0,1.0,output-epoch50-y10-k20-all_covars-default_reg-out_of_session_test,0.0,0.0,542395.0,2.0,2.0,0.8568884300187133,0.7853198407804003,0.7850465324886472,,3840.9104,,0.2689
output-epoch50-y10-k20-ONLY_leg_id-WITH_topics,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-09 21:30,20.0,50.0,+accuracy,train,,vote,leg_id,,0.0,0.0,0.0,0.0,output-epoch50-y10-k20-ONLY_leg_id-WITH_topics/,0.0,10.0,685091.0,2.0,49.0,0.8087294147412671,0.8051350917397714,0.8210746033367878,,1012.8169,,6.0121
output-epoch50-y10-k50-majority_cosponsor_covar-out_of_session_testing_20052010_20112012,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-09 22:07,50.0,20.0,+accuracy,train,,vote,"party,leg_id,chamber,bill_type,pip,majority_cosponsor",,0.0,0.0,0.0,0.0,output-epoch50-y10-k50-majority_cosponsor_covar-out_of_session_testing_20052010_20112012/,0.0,10.0,542395.0,2.0,46.0,0.9219347913371955,0.9110234333228857,0.9196334740684747,0.7141685821606772,569.486,4485.741,5.3566
output-epoch50-y10-k20-NO_legid-default_reg-out_of_session_test,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-10 11:18,20.0,6.0,+accuracy,train,test,vote,"party,chamber,bill_type,pip,majority_cosponsor",10.0,1.0,1.0,1.0,1.0,output-epoch50-y10-k20-NO_legid-default_reg-out_of_session_test,0.0,0.0,542395.0,2.0,0.0,0.835772822389587,0.8023210181084263,0.8038627571901105,0.7934840500084095,2781.3699,2221.3462,0.3201
output-epoch50-y10-k50-majority_cosponsor_covar-out_of_session_DEV,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-10 11:39,50.0,20.0,+accuracy,train,test,vote,"party,leg_id,chamber,bill_type,pip,majority_cosponsor",10.0,0.0,0.0,0.0,0.0,output-epoch50-y10-k50-majority_cosponsor_covar-out_of_session_DEV/,0.0,0.0,542395.0,2.0,2.0,0.8692742374100056,0.7944861804115042,0.7906738801367943,,4536.951,,0.281
output-epoch50-y10-k20-all_covars-default_reg-out_of_session_fine_tune,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-10 12:54,20.0,6.0,-perplexity,test,test,vote,"party,chamber,bill_type,pip,majority_cosponsor,leg_id",0.0,1.0,1.0,1.0,1.0,output-epoch50-y10-k20-all_covars-default_reg-out_of_session_fine_tune,1.0,0.0,142696.0,2.0,2.0,0.8568884300187133,0.7853198407804003,inf,,3840.9104,,0.2689
output-epoch50-y10-k20-NO_legid-default_reg-out_of_session_fine_tune,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-10 13:39,20.0,6.0,-perplexity,test,test,vote,"party,chamber,bill_type,pip,majority_cosponsor",0.0,1.0,1.0,1.0,1.0,output-epoch50-y10-k20-NO_legid-default_reg-out_of_session_fine_tune,1.0,0.0,142696.0,2.0,10.0,0.8042481919605314,0.8042972472949487,inf,0.7934840500084095,2828.4133,2221.3462,0.3407
output-epoch50-y10-k20-with_leg_id-default_reg-out_of_session_DEV,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-10 16:44,20.0,50.0,+accuracy,train,test,vote,"party,leg_id,chamber,bill_type,pip,majority_cosponsor",10.0,1.0,1.0,1.0,1.0,output-epoch50-y10-k20-with_leg_id-default_reg-out_of_session_DEV/,0.0,0.0,542395.0,2.0,2.0,0.854642834096922,0.7882911924651006,0.7869176431014184,,3966.77,,0.241
output-epoch50-y10-k20-majority_cosponsor_covar-NO_leg_id-out_of_session_DEV,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-10 17:26,20.0,20.0,+accuracy,train,test,vote,"party,chamber,bill_type,pip,majority_cosponsor",10.0,0.0,0.0,0.0,0.0,output-epoch50-y10-k20-majority_cosponsor_covar-NO_leg_id-out_of_session_DEV/,0.0,0.0,542395.0,2.0,37.0,0.8790770563887942,0.8093849862645064,0.8191680215282839,,2356.9941,,2.0807
output-epoch50-y10-k50-all_covars_and_topics-with_default_reg-in_session_dev,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-10 20:42,50.0,50.0,+accuracy,train,,vote,"party,leg_id,chamber,bill_type,pip,majority_cosponsor",10.0,1.0,1.0,1.0,1.0,output-epoch50-y10-k50-all_covars_and_topics-with_default_reg-in_session_dev/,0.0,10.0,685091.0,2.0,49.0,0.9235754530622042,0.9102015793545374,0.9192222919616401,,613.9171,,4.34
output-epoch50-y10-k50-all_covars-PERPLEXITY-without_label,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-10 23:03,50.0,50.0,-perplexity,train,,,"party,leg_id,chamber,bill_type,pip,majority_cosponsor",1.0,0.0,0.0,0.0,0.0,output-epoch50-y10-k50-all_covars-PERPLEXITY-without_label/,0.0,10.0,685091.0,0.0,49.0,,,inf,,571.6631,,6.2337
output-epoch50-y10-k50-leg_id-majority_cosponsor-out_of_session_testing_on_20112012,49e4911cd377d2eac6d298ca968a8b06c3995293,2019-11-20 18:29,50.0,50.0,+accuracy,train,,vote,"leg_id,majority_cosponsor",1.0,0.0,0.0,0.0,0.0,output-epoch50-y10-k50-leg_id-majority_cosponsor-out_of_session_testing_on_20112012/,0.0,10.0,542395.0,2.0,49.0,0.8771601701095552,0.8693928722874684,0.8836999207212523,0.5919717441273756,680.32983,4130.4727,6.0116
